2024_rank,2023_rank,institution_name,country_code,country,size,focus,res.,age,status,academic_reputation_score,academic_reputation_rank,employer_reputation_score,employer_reputation_rank,faculty_student_score,faculty_student_rank,citations_per_faculty_score,citations_per_faculty_rank,international_faculty_score,international_faculty_rank,international_students_score,international_students_rank,international_research_network_score,international_research_network_rank,employment_outcomes_score,employment_outcomes_rank,sustainability_score,sustainability_rank,overall_score,2024_rank_raw,2023_rank_raw,academic_reputation_rank_raw,employer_reputation_rank_raw,faculty_student_rank_raw,citations_per_faculty_rank_raw,international_faculty_rank_raw,international_students_rank_raw,international_research_network_rank_raw,employment_outcomes_rank_raw,sustainability_rank_raw,rank_change
1,1,Massachusetts Institute of Technology (MIT) ,US,United States,M,CO,VH,5,B,100.0,4,100.0,2,100.0,16,100.0,4,100.0,56,88.2,128,94.3,58,100.0,4,95.2,51,100.0,1.0,1.0,4.0,2.0,16.0,4.0,56.0,128.0,58.0,4.0,51.0,0.0
2,2,University of Cambridge,UK,United Kingdom,L,FC,VH,5,A,100.0,3,100.0,4,100.0,14,92.3,68,100.0,64,95.8,85,99.9,7,100.0,6,97.3,33,99.2,2.0,2.0,3.0,4.0,14.0,68.0,64.0,85.0,7.0,6.0,,0.0
3,4,University of Oxford,UK,United Kingdom,L,FC,VH,5,A,100.0,2,100.0,5,100.0,8,90.6,73,98.2,110,98.2,60,100.0,1,100.0,3,97.8,26,98.9,3.0,4.0,2.0,5.0,8.0,73.0,110.0,60.0,1.0,3.0,,1.0
4,5,Harvard University,US,United States,L,FC,VH,5,B,100.0,1,100.0,1,98.3,44,100.0,1,84.6,210,66.8,223,100.0,5,100.0,1,96.7,39,98.3,4.0,5.0,1.0,1.0,44.0,1.0,210.0,223.0,5.0,1.0,39.0,1.0
5,3,Stanford University,US,United States,L,FC,VH,5,B,100.0,5,100.0,3,100.0,11,99.9,8,99.9,78,51.2,284,95.8,44,100.0,2,94.4,63,98.1,5.0,3.0,5.0,3.0,11.0,8.0,78.0,284.0,44.0,2.0,63.0,-2.0
6,6,Imperial College London,UK,United Kingdom,L,FC,VH,5,A,98.3,23,99.4,12,98.5,42,94.0,58,100.0,61,100.0,14,96.7,35,83.0,45,94.4,61,97.8,6.0,,23.0,12.0,42.0,58.0,61.0,14.0,35.0,45.0,,0.0
7,9,ETH Zurich - Swiss Federal Institute of Technology,CH,Switzerland,L,FO,VH,5,A,98.8,19,83.6,62,72.1,177,98.9,21,100.0,22,98.5,56,96.0,42,79.1,52,88.4,103,93.3,7.0,9.0,19.0,62.0,177.0,21.0,22.0,56.0,42.0,52.0,,2.0
8,11,National University of Singapore (NUS),SG,Singapore,XL,FC,VH,3,A,99.4,15,88.6,54,76.5,157,93.2,64,100.0,33,81.9,154,76.3,165,100.0,7,88.1,106,92.7,8.0,11.0,15.0,54.0,157.0,64.0,33.0,154.0,165.0,7.0,,3.0
9,8,UCL,UK,United Kingdom,XL,FC,VH,5,A,99.5,13,97.9,22,98.4,43,74.3,131,99.1,96,100.0,15,100.0,2,51.6,126,92.5,74,92.4,9.0,8.0,13.0,22.0,43.0,131.0,96.0,15.0,2.0,126.0,74.0,-1.0
10,27,"University of California, Berkeley (UCB)",US,United States,XL,FC,VH,5,A,100.0,6,100.0,6,20.5,656,99.9,7,92.2,172,63.9,235,92.4,66,98.7,15,100.0,1,90.4,10.0,27.0,6.0,6.0,656.0,7.0,172.0,235.0,66.0,15.0,1.0,17.0
11,10,University of Chicago,US,United States,L,FC,VH,5,B,99.1,17,95.4,38,92.5,72,78.5,122,81.2,225,84.4,145,61.4,236,98.3,17,81.7,137,90.3,11.0,10.0,17.0,38.0,72.0,122.0,225.0,145.0,236.0,17.0,,-1.0
12,13,University of Pennsylvania,US,United States,L,FC,VH,5,B,96.4,29,89.1,52,99.9,24,68.4,153,96.0,140,70.3,208,83.3,129,100.0,5,99.9,3,89.4,12.0,13.0,29.0,52.0,24.0,153.0,140.0,208.0,129.0,5.0,,1.0
13,20,Cornell University,US,United States,L,FC,VH,5,B,98.1,26,90.5,47,52.9,297,99.1,18,68.7,283,64.0,234,79.9,144,98.0,18,94.7,58,89.3,13.0,20.0,26.0,47.0,297.0,18.0,283.0,234.0,144.0,18.0,,7.0
14,33,The University of Melbourne,AU,Australia,XL,FC,VH,5,A,98.4,21,92.3,45,15.4,,92.1,69,92.9,166,99.7,36,97.2,30,93.3,31,90.4,92,87.9,14.0,33.0,21.0,45.0,,69.0,166.0,36.0,30.0,31.0,,19.0
15,6,California Institute of Technology (Caltech),US,United States,S,CO,VH,5,B,96.1,30,93.7,41,100.0,5,100.0,3,100.0,63,81.0,159,22.8,521,34.2,225,41.4,357,87.8,15.0,,30.0,41.0,5.0,3.0,63.0,159.0,521.0,225.0,357.0,-9.0
16,18,Yale University,US,United States,M,FC,VH,5,B,99.9,9,99.9,7,100.0,3,45.8,293,89.8,184,78.8,169,85.8,112,99.9,9,99.2,13,87.7,16.0,18.0,9.0,7.0,3.0,293.0,184.0,169.0,112.0,9.0,13.0,2.0
17,12,Peking University,CN,China (Mainland),XL,FC,VH,5,A,99.4,14,95.4,37,90.4,85,97.5,38,50.8,354,23.5,492,43.2,353,82.6,46,68.8,212,87.0,,12.0,14.0,37.0,85.0,38.0,354.0,492.0,353.0,46.0,212.0,-5.0
